,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
279931,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,43,1,6.0,0,0.0,0.0,1.0,"Okert, Steven",L,"Joe, Connor",R,S,Strike - Swinging,swinging_strike,SL,Slider,2321.826172,82.36608124,-2.25529623,10.61564064,0.526959598,2.313379526,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279932,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,42,3,6.0,0,0.0,2.0,1.0,"Okert, Steven",L,"McCutchen, Andrew",R,D,Hit Into Play - No Out(s),double,FF,Four-seam FB,2326.224121,95.3090744,-13.46099091,13.18357658,0.143708453,1.903736591,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279933,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,42,2,6.0,0,0.0,1.0,1.0,"Okert, Steven",L,"McCutchen, Andrew",R,C,Strike - Called,called_strike,FF,Four-seam FB,2262.12793,93.95607758,-12.0362463,14.38250923,-0.673853338,2.154886961,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279934,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,42,1,6.0,0,0.0,0.0,1.0,"Okert, Steven",L,"McCutchen, Andrew",R,S,Strike - Swinging,swinging_strike,SL,Slider,2524.253418,81.93592834,10.55753231,3.503566265,-0.265010595,1.345023751,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279935,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,41,5,6.0,0,2.0,2.0,0.0,"Okert, Steven",L,"Palacios, Joshua",L,X,Hit Into Play - Out(s),field_out,SL,Slider,2423.471436,80.80471039,12.41716766,5.575850487,-1.219423652,1.666218519,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279936,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,41,3,6.0,0,1.0,1.0,0.0,"Okert, Steven",L,"Palacios, Joshua",L,B,Ball - Called,ball,FF,Four-seam FB,2143.39209,93.39971161,-13.11681175,15.10996914,-0.354241997,1.347450852,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279937,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,41,2,6.0,0,1.0,0.0,0.0,"Okert, Steven",L,"Palacios, Joshua",L,F,Strike - Foul,foul,FF,Four-seam FB,2219.752686,93.15479279,-11.22860527,16.2991066,-0.028527789,2.32007575,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
279938,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,41,1,6.0,0,0.0,0.0,0.0,"Okert, Steven",L,"Palacios, Joshua",L,B,Ball - Called,ball,SL,Slider,2464.448975,81.40335846,9.343915939,7.311737537,-1.504446507,0.944679737,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
280230,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,41,4,6.0,0,2.0,1.0,0.0,"Okert, Steven",L,"Palacios, Joshua",L,S,Strike - Swinging,swinging_strike,SL,Slider,2427.526367,82.11565399,8.401597977,8.995739937,-1.046030045,2.350952625,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
281545,2023/06/24/oakmlb-tormlb-1,6/24/2023 20:07,63,3,7.0,0,0.0,2.0,1.0,"Mayza, Tim",L,"Noda, Ryan",L,B,Ball - Called,ball,SL,Slider,2294.548828,87.22382355,1.545641422,2.222539186,-2.457153559,1.313425899,141,Toronto Blue Jays,133,Oakland Athletics,14,Rogers Centre
282208,2023/06/30/tbamlb-seamlb-1,7/1/2023 2:10,82,1,9.0,1,0.0,0.0,0.0,"Poche, Colin",L,"Raleigh, Cal",R,B,Ball - Called,ball,FF,Four-seam FB,2213.320557,92.63204956,4.114662647,19.39766884,-0.020503052,5.28848362,136,Seattle Mariners,139,Tampa Bay Rays,680,T-Mobile Park
282209,2023/06/30/tbamlb-seamlb-1,7/1/2023 2:10,82,2,9.0,1,1.0,0.0,0.0,"Poche, Colin",L,"Raleigh, Cal",R,F,Strike - Foul,foul,FF,Four-seam FB,2260.77832,92.55550385,4.577305794,19.28784752,-0.520794451,2.964225531,136,Seattle Mariners,139,Tampa Bay Rays,680,T-Mobile Park
282210,2023/06/30/tbamlb-seamlb-1,7/1/2023 2:10,82,3,9.0,1,1.0,1.0,0.0,"Poche, Colin",L,"Raleigh, Cal",R,B,Ball - Called,ball,SL,Slider,2421.689209,87.29631042,5.428326607,9.585478783,-1.048843622,3.988776684,136,Seattle Mariners,139,Tampa Bay Rays,680,T-Mobile Park
